SUBS,SCANS,CONDITION,TRIAL_INFO,ALT_DELAY,ALT_UNTIL,ALT_PERCEPT,TIME
S01,scan1,Rival,Trial 1,1.61591235757624,NaN,1,13.207388313319
S01,scan1,Rival,Trial 1,0.0333059089907692,1.61591235757624,3,14.8233006708952
S01,scan1,Rival,Trial 1,2.73213522947754,0.0333059089907692,2,14.856606579886
S01,scan1,Rival,Trial 1,0.066620198936107,2.73213522947754,3,17.5887418093635
S01,scan1,Rival,Trial 1,1.51599882107894,0.066620198936107,1,17.6553620082996
S01,scan1,Rival,Trial 1,0.0500273079405815,1.51599882107894,3,19.1713608293785
S01,scan1,Rival,Trial 1,2.11568621151582,0.0500273079405815,2,19.2213881373191
S01,scan1,Rival,Trial 1,0.0833273502630618,2.11568621151582,3,21.3370743488349
S01,scan1,Rival,Trial 1,2.33220283583523,0.0833273502630618,1,21.420401699098
S01,scan1,Rival,Trial 1,0.0500544063561392,2.33220283583523,3,23.7526045349332
S01,scan1,Rival,Trial 1,2.1323221247394,0.0500544063561392,2,23.8026589412894
S01,scan1,Rival,Trial 1,0.0832946645459742,2.1323221247394,3,25.9349810660288
S01,scan1,Rival,Trial 1,1.4826638581153,0.0832946645459742,1,26.0182757305748
S01,scan1,Rival,Trial 1,0.0333170835965575,1.4826638581153,3,27.5009395886901
S01,scan1,Rival,Trial 1,0.966252694127434,0.0333170835965575,2,27.5342566722866
S01,scan1,Rival,Trial 1,0.183221610567671,0.966252694127434,3,28.500509366414
S01,scan1,Rival,Trial 1,0.233426594720186,0.183221610567671,1,28.6837309769817
S01,scan1,Rival,Trial 1,0.0164956719363545,0.233426594720186,3,28.9171575717019
S01,scan1,Rival,Trial 1,0.982886651795525,0.0164956719363545,2,28.9336532436383
S01,scan1,Rival,Trial 1,0.116613703696203,0.982886651795525,3,29.9165398954338
S01,scan1,Rival,Trial 1,1.54930864118251,0.116613703696203,1,30.03315359913
S01,scan1,Rival,Trial 1,0.18323055025121,1.54930864118251,3,31.5824622403125
S01,scan1,Rival,Trial 1,2.03245328666071,0.18323055025121,2,31.7656927905637
S01,scan1,Rival,Trial 1,0.0665925417897597,2.03245328666071,3,33.7981460772244
S01,scan1,Rival,Trial 1,1.78254275333893,0.0665925417897597,1,33.8647386190142
S01,scan1,Rival,Trial 1,0.233216512154286,1.78254275333893,3,35.6472813723531
S01,scan1,Rival,Trial 1,1.84918949196071,0.233216512154286,2,35.8804978845074
S01,scan1,Rival,Trial 1,0.233338035979614,1.84918949196071,3,37.7296873764681
S01,scan1,Rival,Trial 1,0.71626365920747,0.233338035979614,2,37.9630254124477
S01,scan1,Rival,Trial 1,0.0333073058172886,0.71626365920747,3,38.6792890716552
S01,scan1,Rival,Trial 1,1.54930668562611,0.0333073058172886,1,38.7125963774725
S01,scan1,Rival,Trial 1,0.0668367069001761,1.54930668562611,3,40.2619030630986
S01,scan1,Rival,Trial 1,2.99859116172593,0.0668367069001761,2,40.3287397699988
S01,scan1,Rival,Trial 1,0.0331952804053799,2.99859116172593,3,43.3273309317247
S01,scan1,Rival,Trial 1,2.44888554271529,0.0331952804053799,1,43.3605262121301
S01,scan1,Rival,Trial 1,0.0833094708968929,2.44888554271529,3,45.8094117548453
S01,scan1,Rival,Trial 1,1.96577861152764,0.0833094708968929,2,45.8927212257422
S01,scan1,Rival,Trial 1,0.0333067470864989,1.96577861152764,3,47.8584998372699
S01,scan1,Rival,Trial 1,1.79919626656465,0.0333067470864989,1,47.8918065843564
S01,scan1,Rival,Trial 1,0.0666447830653851,1.79919626656465,3,49.691002850921
S01,scan1,Rival,Trial 1,1.5992694602246,0.0666447830653851,2,49.7576476339864
S01,scan1,Rival,Trial 1,0.0666953481522796,1.5992694602246,3,51.356917094211
S01,scan1,Rival,Trial 1,1.28269067716701,0.0666953481522796,1,51.4236124423633
S01,scan1,Rival,Trial 1,0.183288937560064,1.28269067716701,3,52.7063031195303
S01,scan1,Rival,Trial 1,NaN,0.183288937560064,2,52.8895920570904
S01,scan1,Rival,Trial 2,2.54885551096504,NaN,1,67.0104086301474
S01,scan1,Rival,Trial 2,0.0666595894172133,2.54885551096504,3,69.5592641411124
S01,scan1,Rival,Trial 2,1.81584614804433,0.0666595894172133,2,69.6259237305296
S01,scan1,Rival,Trial 2,0.150062926992177,1.81584614804433,3,71.441769878574
S01,scan1,Rival,Trial 2,0.133145693097504,0.150062926992177,2,71.5918328055661
S01,scan1,Rival,Trial 2,0.0501041333463945,0.133145693097504,3,71.7249784986636
