subject,scan,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
S01,scan1,1,129,0.040842449810852714,0.021885840961660963,0.044100789,0.04065801862857143,0.0212787807666,0,0.097080399,0.097080399,0.03226082041788425,-0.7047418934976162,0.0019269408510392857
S01,scan1,2,129,0.04071163539496124,0.029867171351678337,0.033933492,0.03847765926095238,0.0292648427316,0,0.11631284,0.11631284,0.6472568459038264,-0.4989583612237847,0.00262965780859679
S01,scan1,3,129,0.27199573809271316,0.12897578616257924,0.28043766,0.2795649883333333,0.15422202385799993,0,0.53831501,0.53831501,-0.3962308233857328,-0.9108689214996177,0.011355684782090274
S01,scan1,4,129,0.0051252663440155034,0.0018040877242312258,0.0054280111,0.005203908033333334,0.0017392426560600006,0,0.011196623,0.011196623,-0.28034074447916235,0.8162178612552702,1.5884106718903147e-4
S01,scan1,5,129,0.0012979196924263565,0.0010773787454520388,0.0010238769,0.0012128334558095238,0.0010555397386799998,0,0.0035039967,0.0035039967,0.6420801420886906,-0.9253894899093598,9.485790928892111e-5
S01,scan1,6,129,0.0011708728571472868,4.7076937657382405e-4,0.0013405047,0.0012113206473333333,4.0590133542000017e-4,0,0.0022233315,0.0022233315,-0.682518916030881,-0.2192349037310084,4.144893242747723e-5
S01,scan10,1,129,0.0463053632045969,0.03581455533435514,0.041141579,0.04226587446380952,0.035109870175799994,0,0.17586789,0.17586789,1.0922676859837852,1.2353836747282712,0.0031532957703782187
S01,scan10,2,129,0.24221528072945742,0.07791855109690013,0.24124537,0.2442742320952381,0.06616203316799996,7.1054274e-15,0.51155681,0.5115568099999929,-0.06953684798302308,2.0559801353753393,0.006860345893284515
S01,scan10,3,129,0.09606571388170544,0.08941644716164696,0.067582751,0.08399320815238095,0.06226647053340001,1.7763568e-15,0.41320473,0.41320472999999824,1.215652185415173,0.6845682866280955,0.00787267919438893
S01,scan10,4,129,0.004894187024131783,0.0030515975135607934,0.0051198712,0.004728201063809524,0.0027053114877599997,0,0.017297492,0.017297492,1.4162142769625465,4.306384192624025,2.686781796555621e-4
S01,scan10,5,129,0.002599425713875969,0.0010179756595602323,0.0028032467,0.0026269554295238096,0.0010332810200999998,0,0.0047231208,0.0047231208,-0.31238048216667047,-0.6610389377067887,8.962775920772312e-5
S01,scan10,6,129,0.007105252137674419,0.002039762372316544,0.0076213572,0.007334511782857143,0.0018824902819799994,0,0.010564306,0.010564306,-1.1309647068497537,1.3198648346448367,1.7959106293950056e-4
S01,scan11,1,129,0.047711316040542635,0.040820244588723284,0.033515061,0.04237247663238095,0.027455628916799996,0,0.16849228,0.16849228,1.1611540510122142,0.4982635622394147,0.0035940221344575056
S01,scan11,2,129,0.33529726617906974,0.2300935755038775,0.29600773,0.33076089226666666,0.292908949788,0,0.79640632,0.79640632,0.21550533572638092,-1.319551202812646,0.02025860970920923
S01,scan11,3,129,0.23096104611860466,0.24320450657646317,0.094821334,0.20201950098095237,0.1071462210336,0,0.81287068,0.81287068,0.8525422436683622,-0.8472216862970514,0.021412962823772315
