subject,scan,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
S01,scan1,1,128,-1.3671998437500004e-4,0.016310984343285047,-3.36996499999998e-4,-4.5179744615384606e-4,0.013592742259530003,-0.0534412406,0.063273713,0.1167149536,0.26758781307322943,1.9656559376944305,0.0014417009546205577
S01,scan1,2,128,2.2471696875000022e-4,0.04409252790353444,0.0039059459999999987,0.0012664153730769232,0.044623051653600004,-0.162179176,0.101074688,0.263253864,-0.3966289344773785,0.5808213717724384,0.0038972656850307834
S01,scan1,3,128,8.03897421875005e-5,0.08295034002928278,-6.938499999999126e-5,-0.0014750574044230776,0.045379865579999984,-0.27714991499999997,0.42380236000000004,0.700952275,1.1860820316218137,8.007250985250947,0.007331843492054471
S01,scan1,4,128,1.3471010156249994e-5,0.0015911772531302954,-4.222115000000032e-5,-3.3517472423076934e-5,6.380950279199988e-4,-0.0059574191,0.0078229854,0.0137804045,1.0620306725548152,8.970012704456526,1.4064152821977694e-4
S01,scan1,5,128,-2.2307777343750003e-5,3.6085524421351767e-4,1.6013960000000064e-5,-1.0816870201923076e-5,2.4782278726799995e-4,-0.0018925079900000003,0.001371677096,0.0032641850860000003,-0.9111290738655116,6.980160952461475,3.189539877626325e-5
S01,scan1,6,128,-7.84702421875e-6,3.3117951163092125e-4,-3.062187000000004e-5,-4.008555576923073e-6,2.34137388513e-4,-0.00143525969,0.00130951428,0.0027447739700000003,-0.04004635705677966,4.965899810066114,2.9272409808034184e-5
S01,scan10,1,128,0.001373967890625,0.016632962514730613,-3.5380150000000055e-4,1.1085395576923068e-4,0.013483992516899104,-0.039853957100000004,0.0712962027,0.11115015980000001,1.0653524578978104,2.8639666003012394,0.0014701600731734583
S01,scan10,2,128,0.0034153317187500553,0.048680677680810636,-7.160300000000064e-4,0.001512352932692375,0.04106151138600003,-0.10895175000000001,0.17248879000000003,0.2814405400000001,0.5828686902561272,1.5901960207307964,0.004302804662607226
S01,scan10,3,128,-0.0024541762499999857,0.07510600929527898,0.0036760765,0.005645041775000016,0.0439308086637,-0.45449959,0.18450625,0.63900584,-2.8858622269174226,13.268129489615475,0.006638496060068955
S01,scan10,4,128,-1.346585546875e-4,0.0015587292008904404,1.4220560000000005e-4,6.641643752884618e-5,5.239950214799996e-4,-0.00961992423,0.0028322063999999996,0.012452130629999999,-3.577446409251046,17.232705067387055,1.3777349849788983e-4
S01,scan10,5,128,-3.4906703125000003e-6,5.07008952663996e-4,-3.5808000000000454e-6,-8.921998365384628e-6,1.9722746105999987e-4,-0.00217523315,0.0033552858000000002,0.0055305189500000004,1.4126261393026438,17.07392378697422,4.48136835688751e-5
S01,scan10,6,128,-7.914071875e-5,3.580726784216264e-4,-4.7081050000000266e-5,-6.710326346153847e-5,2.5430667149999877e-4,-0.0016236672,0.0011110849000000008,0.0027347521000000005,-0.7309568608992348,3.7924191922395725,3.1649452383695244e-05
S01,scan11,1,128,-7.69125078125e-4,0.02270979079867649,0.001379716949999998,-4.3402795192307717e-4,0.0207545904867,-0.071704941,0.0746021,0.146307041,-0.09526286918232342,1.0482468333359494,0.0020072808841340006
S01,scan11,2,128,0.00361550671875,0.07223304799304538,-0.006253669999999989,0.001861945951923075,0.050103206789999986,-0.26878819,0.250644011,0.519432201,0.21687536024929804,3.1209937005474586,0.006384559757706965
S01,scan11,3,128,-0.004004195859375,0.0930669911259746,0.005240169999999999,0.0028478149365384624,0.04949101159800001,-0.47812875099999996,0.28973540999999997,0.7678641609999999,-1.7794672803616318,8.66400745770508,0.008226037566225608
S01,scan11,4,128,-1.613004296875e-4,0.002346633527246848,1.321787249999996e-4,4.5385788461538624e-6,9.577374351299983e-4,-0.011977125000000002,0.0102824612,0.0222595862,-1.4678273184680537,10.771325955657534,2.0741506000949414e-4
S01,scan11,5,128,3.697361875e-5,6.0057008043862e-4,3.730891499999976e-5,3.3023890576923085e-5,3.486694913099993e-4,-0.00247855042,0.0024469576,0.00492550802,0.018768115805673082,4.332098224225032,5.308339705698731e-5
S01,scan11,6,128,-2.368178671875e-5,4.352208094066151e-4,-7.543349999999949e-6,-2.9236660865384612e-5,3.0802267796999983e-4,-0.0018781739,0.0015248973,0.0034030711999999998,-0.18268244439448877,3.810926442627597,3.846844820561443e-5
S01,scan12,1,128,0.002791687343749889,0.04916138650387216,-0.0011504615000000034,-0.0020806885770192312,0.015683024342999993,-0.160110199,0.269710927,0.429821126,2.787987060810933,13.946906770359469,0.004345293721177602
S01,scan12,2,128,6.701197968749978e-5,0.1188152810196724,-0.005687524999999999,-0.002048662678846155,0.057412454442,-0.73495443,0.463312984,1.198267414,-1.083799332880906,13.527414996194516,0.010501886364699455
S01,scan12,3,128,-0.006586447265624984,0.3061797833154427,0.007392149999999931,0.003767870730769249,0.09656015903099992,-1.3106352300000002,2.10644277,3.417078,1.3801473731780187,20.622871966058103,0.02706272513057216
S01,scan12,4,128,-8.13567265625e-5,0.008145995599747036,6.079500000002319e-6,7.805080576923132e-6,0.0018687965436000023,-0.0320614393,0.062562935,0.09462437430000001,2.9248387242536085,28.389538288738994,7.200110910121133e-4
S01,scan12,5,128,-2.3848508593749997e-5,8.125068968906378e-4,-2.257655000000025e-5,-2.7639792740384622e-5,3.776429052900001e-4,-0.0044493321999999995,0.0028585404,0.007307872599999999,-0.9016851480077983,8.328185490187272,7.181614206902612e-5
