Sub,Scan,Inv,Percept,Cond,F
S01,2,14,green,BR,6436.77662304546
S01,2,15,green,BR,34263.5688773948
S01,2,16,green,BR,33247.2255009388
S01,2,17,green,BR,30030.0656135485
S01,2,18,green,BR,29900.4285826301
S01,3,1,green,BR,31616.6971218709
S01,3,2,green,BR,41067.4069034167
S01,3,3,green,BR,26342.5669787535
S01,3,4,green,BR,26409.7610957852
S01,3,5,green,BR,35286.7790370138
S01,3,6,green,BR,31621.1861909536
S01,3,7,green,BR,8096.8493377881
S01,3,8,green,BR,5858.1080511017
S01,3,9,green,BR,21392.882796299
S01,3,10,green,BR,17019.507658636
S01,3,11,green,BR,10033.8464713561
S01,3,12,green,BR,9075.0311476291
S01,3,13,green,BR,9061.73835678543
S01,3,14,green,BR,8874.36380689834
S01,3,15,green,BR,33242.7518293382
S01,3,16,green,BR,32980.9187396575
S01,3,17,green,BR,36962.5844144244
S01,3,18,green,BR,36841.8170488357
S01,4,1,green,BR,27367.2407507295
S01,4,2,green,BR,37596.7465657247
S01,4,3,green,BR,22871.5598744308
S01,4,4,green,BR,22928.9235777122
S01,4,5,green,BR,32720.7894649825
S01,4,6,green,BR,27373.191473161
S01,4,7,green,BR,9814.43107264785
S01,4,8,green,BR,7362.71778482432
S01,4,9,green,BR,20761.1055979194
S01,4,10,green,BR,16636.5169896379
S01,4,11,green,BR,9683.72885764012
S01,4,12,green,BR,8694.17162411209
S01,4,13,green,BR,8241.24428729643
S01,4,14,green,BR,8031.23886300249
S01,4,15,green,BR,27649.5595713873
S01,4,16,green,BR,27519.2818601289
S01,4,17,green,BR,33772.1875735165
S01,4,18,green,BR,33747.0345043745
S01,5,1,green,BR,25769.8375964567
S01,5,2,green,BR,35841.5997619375
S01,5,3,green,BR,19958.9837233137
S01,5,4,green,BR,20018.8472268389
S01,5,5,green,BR,29850.4088395657
S01,5,6,green,BR,25767.0806955007
S01,5,7,green,BR,6346.61420454385
S01,5,8,green,BR,4202.4672863788
S01,5,9,green,BR,18463.3279276847
S01,5,10,green,BR,14450.2814317172
S01,5,11,green,BR,8574.95568782283
S01,5,12,green,BR,7553.29355655794
S01,5,13,green,BR,8371.95239474468
S01,5,14,green,BR,8104.69479124292
S01,5,15,green,BR,35891.9407282746
S01,5,16,green,BR,34872.7984570514
S01,5,17,green,BR,34483.5301798969
S01,5,18,green,BR,34369.9587241538
S01,6,1,green,BR,25891.9106172319
S01,6,2,green,BR,33790.4721965001
S01,6,3,green,BR,21346.8897087027
S01,6,4,green,BR,21428.5741544853
S01,6,5,green,BR,29066.6382740041
S01,6,6,green,BR,25929.3684535646
S01,6,7,green,BR,7465.87388743846
S01,6,8,green,BR,5868.97760261823
S01,6,9,green,BR,16871.7912779751
S01,6,10,green,BR,13625.2491837785
S01,6,11,green,BR,7686.61773547655
S01,6,12,green,BR,6725.09418136135
S01,6,13,green,BR,7412.20056801637
S01,6,14,green,BR,6946.30887561225
S01,6,15,green,BR,31760.0365676724
S01,6,16,green,BR,30676.0245978247
S01,6,17,green,BR,31849.1227996744
S01,6,18,green,BR,31689.5193124603
S01,1,1,s,BR,51547.3654627183
S01,1,2,s,BR,72074.8450161348
S01,1,3,s,BR,41775.5160079881
S01,1,4,s,BR,41869.5239770759
S01,1,5,s,BR,61198.4382770158
S01,1,6,s,BR,51618.6190016154
S01,1,7,s,BR,14446.1685493922
S01,1,8,s,BR,9039.68025261243
S01,1,9,s,BR,39242.8662008934
S01,1,10,s,BR,30024.1123642481
S01,1,11,s,BR,17357.8203389048
S01,1,12,s,BR,14795.3159180616
S01,1,13,s,BR,15435.4248216964
S01,1,14,s,BR,14828.6743079172
S01,1,15,s,BR,50231.5022036892
S01,1,16,s,BR,50270.8676492777
S01,1,17,s,BR,64380.0117966974
S01,1,18,s,BR,64357.5010644748
S01,2,1,s,BR,52232.2068420469
S01,2,2,s,BR,71950.8013678767
S01,2,3,s,BR,40106.4185295773
S01,2,4,s,BR,40209.5644097048
S01,2,5,s,BR,58265.320075194
S01,2,6,s,BR,52203.7162027442
S01,2,7,s,BR,13391.2320351034
S01,2,8,s,BR,7992.3165612001
S01,2,9,s,BR,36968.4674255886
S01,2,10,s,BR,27319.2103408646
S01,2,11,s,BR,15899.1477716591
S01,2,12,s,BR,13276.3686953154
S01,2,13,s,BR,13726.5986758798
S01,2,14,s,BR,13220.1313581007
S01,2,15,s,BR,70114.9940364617
S01,2,16,s,BR,67883.4275526851
S01,2,17,s,BR,61259.0678916534
S01,2,18,s,BR,60959.034900742
S01,3,1,s,BR,65290.5706512017
S01,3,2,s,BR,87444.7616107131
S01,3,3,s,BR,52110.3277162202
S01,3,4,s,BR,52246.1017762418
S01,3,5,s,BR,72140.8515638935
S01,3,6,s,BR,65225.699736745
S01,3,7,s,BR,21880.0639969354
S01,3,8,s,BR,15258.493943014
S01,3,9,s,BR,44328.0957597911
S01,3,10,s,BR,34067.735878635
S01,3,11,s,BR,21083.2490534259
S01,3,12,s,BR,18259.4385120018
S01,3,13,s,BR,18356.0216929715
S01,3,14,s,BR,17749.8186968228
S01,3,15,s,BR,68141.4174058652
S01,3,16,s,BR,67789.8238405312
